Player_Name,40_tot,40_10_Split,40_Top_Speed,Verticle,Shuttle,FR_Yds_per_Car,SO_Yds_per_Car,JR_Yds_per_Car,SR_Yds_per_Car
A.Peterson,4.41,1.54,18.55,38.5,4.4,5.7,5,5.4,
C.Johnson,4.3,1.43,19.03,35,,4.2,3.9,4,6
D.Murray,4.37,1.52,18.72,34.5,4.18,6,5.6,4.1,4.3
E.Elliott,4.47,1.58,18.3,32.5,,8.7,6.9,6.3,
A.Morris,4.63,1.6,17.67,35.5,4.19,3.3,5.3,4.1,5
L.McCoy,4.5,1.52,18.18,29,4.18,4.8,4.8,,
A.Foster,4.69,1.62,17.44,32,4.53,4.8,3.5,4.9,4.4
M.Jones-Drew ,4.39,1.53,18.64,36,4.38,4.3,6.3,4.9,
M.Lynch,4.48,1.57,18.26,35.5,4.55,8.8,6.4,6.1,
J.Charles,4.41,1.5,18.55,30.5,4.22,7.4,5.3,6.3,
